queue_length,token_position,active_counters,avg_processing_time_min,centre_workload_pct,hour_of_day,day_of_week,crop_factor,quantity_quintals,historical_avg_wait_min,actual_wait_minutes
39,21,4,6.6,37.0,16,5,0.95,60.3,54.8,43.1
52,16,4,9.4,107.4,15,0,1.4,37.0,43.1,63.6
29,14,3,8.3,51.2,9,3,0.95,99.9,16.3,43.5
15,7,4,8.0,85.2,14,1,1.05,89.9,31.9,22.7
43,28,3,7.3,37.3,15,2,1.0,76.7,37.1,74.8
8,8,5,9.2,103.1,14,4,1.25,108.3,28.0,30.5
21,19,4,7.8,77.3,16,4,1.4,104.0,58.1,59.4
39,9,3,5.1,82.5,14,1,0.9,31.1,37.5,17.8
58,58,3,5.4,92.5,14,1,1.1,106.0,47.5,122.8
19,13,4,6.1,78.5,8,4,1.05,48.0,44.5,26.6
23,22,3,9.2,35.7,9,3,0.9,54.7,50.5,65.4
11,5,6,9.3,64.4,12,4,0.95,116.8,62.1,14.1
11,7,2,8.5,51.0,8,0,1.35,92.4,50.1,43.4
24,5,2,8.5,68.9,17,2,0.9,42.0,62.9,20.7
53,42,2,10.2,62.3,14,1,0.95,79.5,50.4,204.5
36,32,3,8.5,96.1,12,5,1.05,67.0,43.6,115.1
40,10,5,9.0,49.8,12,1,0.95,18.4,45.9,23.6
24,7,1,8.0,46.1,15,3,1.35,107.1,10.5,76.2
3,2,4,7.3,106.6,16,0,1.4,99.5,36.5,16.8
22,15,4,7.6,106.0,17,4,1.1,94.4,40.3,44.2
53,7,4,11.1,109.5,8,0,1.1,69.3,47.3,35.2
2,1,3,6.4,75.5,17,0,0.9,30.4,41.7,4.7
24,15,4,8.5,39.1,11,3,1.4,106.6,46.0,57.9
44,3,1,5.7,100.4,9,3,1.35,45.6,26.1,26.9
30,19,4,7.1,41.6,16,5,0.95,7.3,23.0,34.7
38,10,2,9.2,42.4,16,4,1.1,117.9,27.8,56.2
2,2,3,5.3,45.5,8,5,1.1,104.0,60.9,10.5
21,15,4,9.4,82.3,10,4,1.35,76.6,26.8,60.4
33,6,2,11.1,38.6,17,2,1.0,6.4,32.5,27.7
12,12,2,8.5,92.3,15,0,0.9,31.2,43.3,49.1
58,47,4,9.9,34.7,9,4,1.25,57.0,22.9,151.3
22,6,3,8.4,38.8,9,3,0.9,77.2,31.5,23.0
44,13,3,9.1,64.8,9,2,0.95,86.4,50.1,40.3
25,19,2,8.7,60.3,12,5,0.95,95.7,36.7,93.4
49,3,1,7.2,109.2,16,2,1.4,68.9,62.2,30.0
27,8,3,7.1,107.3,14,3,1.35,80.5,21.6,33.7
59,8,2,9.8,45.2,14,4,1.05,98.3,37.9,45.0
42,20,5,7.9,105.7,9,3,1.35,87.8,36.7,55.3
28,15,1,7.8,85.4,9,4,1.35,114.8,41.9,158.0
16,4,3,7.8,62.7,12,3,1.05,105.6,27.3,18.3
15,3,2,8.5,89.2,14,3,1.1,24.5,35.0,13.5
47,21,2,6.2,102.0,14,1,1.1,114.0,51.5,79.6
51,3,4,7.7,44.4,16,4,1.0,28.5,38.8,16.3
44,8,3,8.5,45.7,10,0,1.1,119.0,29.2,30.1
55,23,1,6.1,62.7,8,1,1.1,85.7,67.0,152.2
